,0
2017-02-01,187.308
2017-03-01,187.984
2017-04-01,188.71200000000002
2017-05-01,189.597
2017-06-01,190.484
2017-07-01,191.44099999999997
2017-08-01,192.632
2017-09-01,193.729
2017-10-01,194.778
2017-11-01,195.933
2017-12-01,197.157
2018-01-01,198.297
2018-02-01,199.23
2018-03-01,199.96599999999998
2018-04-01,200.65200000000002
2018-05-01,201.41
2018-06-01,202.18900000000002
2018-07-01,202.878
2018-08-01,203.65
2018-09-01,204.31
2018-10-01,205.076
2018-11-01,205.65200000000002
2018-12-01,206.145
2019-01-01,206.535
2019-02-01,206.86
2019-03-01,207.079
2019-04-01,207.532
2019-05-01,208.13
2019-06-01,208.56799999999998
2019-07-01,209.18
2019-08-01,210.02900000000002
2019-09-01,210.83
2019-10-01,211.73
2019-11-01,212.774
2019-12-01,213.95
2020-01-01,215.049
2020-02-01,215.91099999999997
2020-03-01,216.457
2020-04-01,216.84599999999998
2020-05-01,216.94099999999997
2020-06-01,217.46400000000003
2020-07-01,219.172
2020-08-01,222.27200000000002
2020-09-01,225.717
2020-10-01,229.666
2020-11-01,233.25
2020-12-01,236.58700000000002
2021-01-01,239.738
2021-02-01,242.477
2021-03-01,245.546
2021-04-01,249.078
2021-05-01,253.25099999999998
2021-06-01,258.018
2021-07-01,262.384
2021-08-01,266.58299999999997
2021-09-01,270.153
2021-10-01,273.61400000000003
2021-11-01,277.377
2021-12-01,281.623
2022-01-01,286.305
2022-02-01,291.362
2022-03-01,296.534
2022-04-01,300.42400000000004
2022-05-01,303.3
2022-06-01,304.03
2022-07-01,303.10900000000004
2022-08-01,300.995
2022-09-01,299.014
2022-10-01,298.77
2022-11-01,298.574
2022-12-01,297.893
2023-01-01,297.677
2023-02-01,298.093
2023-03-01,299.072
2023-04-01,300.269
2023-05-01,302.14
2023-06-01,304.038
2023-07-01,306.243
2023-08-01,309.045
2023-09-01,311.176
2023-10-01,313.262
2023-11-01,314.268
2023-12-01,315.075
2024-01-01,316.29900000000004
2024-02-01,317.746
2024-03-01,318.66900000000004
2024-04-01,319.337
2024-05-01,320.066
2024-06-01,320.543
2024-07-01,321.219
2024-08-01,322.282
2024-09-01,323.282
2024-10-01,324.466
2024-11-01,326.006
2024-12-01,327.68
2025-01-01,329.481
2025-02-01,330.384
2025-03-01,329.39300000000003
